,Date,Score,Review
0,16 lutego 2026,2,ich pomoc techniczna to jest jakiś żart
1,5 czerwca 2025,2,"serwis gwarancyjny to jakaś porażka, ile można czekać na decyzję o uznaniu reklamacji? naprawili mi telefon, ale niesmak pozostał. Sprzęt świetny, ale obsługa gwarancyjna już nie. "
2,8 sierpnia 2024,1,"1 gwiazdka to i tak za dużo, niestety niżej się nie da.Lodówka zamówiona w poniedziałek - dostawa dopiero w czwartek bo firma transportowa dała ciała. Trudno zdarza się. Lodówka przyjeżdża z drobnym wgnieceniem na drzwiach - zgłoszenie reklamacji -> tydzień na rozpatrzenie, a ja dalej jestem tydzień bez lodówki w domu. Żenada to mało powiedziane. "
3,8 maja 2024,1,"Mam 4 urządzenia od Samsunga i nigdy więcej nie kupię nic od tej firmy. Poważnie unikacjie tej firmy jak ognia. Wszystko jest ok jeżeli urządzenie działa. Natomiast w przypadku gwarancji zaczyna się zabawa. Mam obecnie otwarte jakieś 10 zgłoszeń na ich stronie, na każde odpowiada automat i sobie tak wiszą po kilka miesięcy, jak dopytuję o odpowiedź to ""to zgłoszenie wymaga więcej czasu"" i to jest wszystko z ich strony. Kompletny żart. Telefon ma beznadziejny zasięg od czasu zakupu. Oddawałem 3 razy na gwarancję, za każdym razem coś tam niby zrobią i dalej nie działa. Mega zbywają klientów. Jakiekolwiek customer support w tej firmie nie istnieje. Urządzenia mają wady od początku z których będą się wypierać aż wam się odechce. Zanim wpadniecie na pomysł kupienia danego sprzętu, polecam wpisać model i problem szczególnie wyszukując na zagranicznych forach. Możecie się nieźle zdziwić. Mam np. S21 i ten problem pojawia się w całej masie egzemplarzy, ilość tematów na forach pl i zagranicznych to kosmos. Co usłyszałem od Samsungowego serwisu? Że pierwszy raz mają taki problem. Jak im pokazałem ich własne forum to usłyszałem że i tak tego nie czytają. A no i akcje promocyjne, czasami w gratisie piszą że dostaniesz np. etui do tableta. Taaaa.... Ile ja się musiałem napisać żeby to dosłali, a to bo nie płacone kartą z nawzwiskiem osoby która jest na koncie samsung (serio?) a to problem z czymś tam, generalnie śmiech na sali.Podsumowując - kompletnie nie polecam."
4,5 listopada 2021,5,
5,22 października 2017,1,"Całkowicie obużony chce przedstawić moję opinię na wasz sposób pstępowania z Reklamacią Katarzyny Majewskej.Jestem obywatelem niemieckimi mieszkam w Hamburgu ,Katarzyna będąc w moim mieszkaniu widziała tecniczne użądzenia marki Samsung jak lodówka,telewizor ,pralka ,komputer itd w miojej opini Samsung dorównuję jakością niemieckim i amerykańskim produktom.W niemczech samsung servis obsługi klienta stoi na pierwszym miejscu jeżeli chodzi o kompetencje i szybkość załatwinia reklamacji.Niestety polski serwis samsunga to obraz braku kompetncji wobraźni i arogancija do klienta.Osoba która udziela odpowiedzi Katarzynie na Facebooku w ogóle nie rozumię że podstawą reklamacji jest nowa i nie używana lodóka. .Jedynym wyjściem w oparciu o Europejskie przepisy prawne jest wymiana na nową lodówkę albo zwrot pieniędzy.Moja osobista opinia, kupiłem taką samą lodówkę w Saturnie po 24 godzinach zauważyłem wgniecienia na drzwiach lodówki.Servis samsunga zaproponował wyniane drzwi lodówki,Propozację odrzuciłem i natachmiast lodówka została wymieniona na nową.To można nazwać servis samsunga.Polski servis niszczy dobre imię Samsunga jako producenta.W podsumowaniu są inne portale internatowe gdzie wasza dziłalność jest negatywnie oceniana i obiecuję że tam też wyrażę moją negatywną opinię o waszej działalności. Pozdrawiam Waldemar Kotas."
6,8 marca 2026,1,Galaxy fold5 barely open my cell phone. Ive been having this phone for about 1 year and a half and its rare i open my cell phone. Yesterday I open it and i heard a click and this click resulted in a black line through the middle of the phone where it folds.. I am very dissapointed on this fold 5. I pay almos 2000 for it.. Do not reccommend this phone.
7,7 marca 2026,5,
8,9 marca 2026,1,"Droger 5 jr geleden gekocht nu stuk zou 10 garantie op motor hebben, wat doet Samsung geeft je een reparatie voorstel van 420 euro. Geen persoonlijk contact alles via whatsapp en diegene die antwoorden geven de hele tijd het zelfde riedeltje, waardeloos voor een droger van bijna 900 euro mag je toch meer verwachten. Nooit meer Samsung"
9,9 marca 2026,1,"Wenn es möglich wäre, würde ich gar keinen Stern geben.Seit über 14 Tagen warte ich auf einen Servicemonteur für die defekte Waschmaschine. Heute rief ich die Hotline an und wurde sehr unfreundlich behandelt. Unter anderem behauptete der Mitarbeiter, die Reparatur sei von einem Mann ausgelöst worden und nicht von mir (bin eine Frau). Das ist schon alleine eine Frechheit. Obwohl die Garantie vom Gerät noch nicht abgelaufen ist und dasselbe Problem zum 3.mal auftritt, weigert er sich mir einen Monteur zu senden. Dazu müsse ich zuerst Fotos senden und genau eruieren wo der Fehler liegt, ansonsten für mich Kosten entstehen. Er verwies mich einfach die Homepage von Samsung, das wars. Nie wieder ein Gerät von Samsung."
