,Date,Score,Review
0,"March 7, 2026",5,"This is a great product, easy to order, with a helpful range of payment options and an excellent delivery process."
1,"March 8, 2026",5,Piece of cake to order from Samsung. Everything is so easy
2,"January 23, 2026",5,"Innovative and ultra reliable products, competitive prices and great deals, trade in deals to encourage recycling, long warranties for piece of mind, what more can you ask for? Always look to samsung for electronics, from mobiles, watches and tablets, to tvs, to fridge freezers and microwaves. Have 17 samsung products currently and always replace with samsung if they ever become outdated. They're so compatible and talk to other devices, allowing me to make the most of the new tech and features and most importantly things so much more convenient. Small unexpected things like the ai features on the tvs predicting what features you want to change to save you fumbling through menus just puts them so far in front of any other manufacturer. Everything designed around consumer needs "
3,"March 9, 2026",5,"I recently upgraded to the Galaxy S26 Ultra and I’m honestly blown away by how good this phone is. The design feels incredibly premium and the display is absolutely stunning. The screen is bright, super smooth, and perfect for watching videos, gaming, or just everyday browsing.The camera system is easily one of the best features. The photos come out incredibly sharp with great colour and detail, even in low light. The zoom is also impressive – I was able to capture clear shots from really far away.Battery life has been excellent for me. It easily lasts a full day with heavy use including social media, videos, and taking lots of photos. Fast charging is also very convenient when I need a quick top-up.Performance is another highlight. Everything feels fast and smooth with no lag at all. Apps open instantly and multitasking is effortless. The S Pen is also a great addition and makes the phone even more useful for notes and quick edits.Overall, I’m extremely happy with the S26 Ultra. It’s powerful, reliable, and packed with features. If you’re thinking about upgrading, I would definitely recommend it. This is easily one of the best smartphones I’ve used."
4,"March 8, 2026",5,Absolutely fantastic service. Delivered on time and cracking offers.  Highly recommended
5,"March 10, 2026",5,The phone looks stunning and the performance is great.  The display is big and the privacy screen is really useful. The battery lasts really long and the camera is awesome. Only concern is that the placement of the camera makes it unstable when you leave it on the table. 
6,"March 6, 2026",5,easy to use web site and user friendly 
7,"March 8, 2026",4,"Great product,ordered the wrong phone cos im an idiot and your pages for 26+ and 26 ultra look exactly the same and i used the wrong page. Still very happy with s26+ as the stylis and extra range on camera were whishes and not needed and it was a lot cheaper. Great service, arrived on time, easy to set delivery day. Would recomend but please make it clearer on web which phone your ordering to help idiots get the right one."
8,"March 11, 2026",1,"Washing machine failed within 3 years, Samsung refused to honour warranty."
9,"March 10, 2026",4,"Great quality silicon case for ""26 Ulta and delivered within a few days. Very pleased with the colour match to the Cobalt Violet. Only thing I feel is slightly overpriced, hence the 4 stars (I would give 4.75 if i could). overall very happy with the quality "
10,"March 8, 2026",5,Quick and easy from ordering to delivery.
11,"March 8, 2026",5,Pre-order Samsung S26 ultra could not be easier fantastic deal.
12,"March 8, 2026",5,
13,"February 5, 2026",1,"Despite ordering a black fridge/freezer, on three occasions Samsung sent an item that was the wrong colour. This was despite me ringing and emailing to advise them of the issue on each occasion.In the end they cancelled the order and advised me to re-order. Although i was promised the new order would be at the same price as my original order this was not the case and i ended up paying over a £100,00 more."
14,"March 11, 2026",5,"As always, you guys get my phones to me with no issues"
15,"March 11, 2026",5,Excellent phone.  Virtually seamless transfer from old phone to this.  Usual great end user experience...
16,"March 11, 2026",1,Do not buy from Samsung. Purchased a £4k S95D TV which lasted less than 18months. Samsung won’t replace or repair it. A reasonable amount of time -Consumer Rights Act 2015?? I am guessing they expect people to replace £4k tvs every 18m. Really poor customer service. Look online to see similar reviews. I have always bought Samsung - not anymore. I won’t be buying Samsung again. 
17,"March 8, 2026",5,"I consider myself to be a Samsung Galaxy Ultraholic, every year, telling myself that I don't really need an upgrade. However, the incentives offered by Samsung, such as trade-in and loyalty discount codes are just too good to ignore my upgrading urges. Another year, another Galaxy Ultra. "
18,"March 7, 2026",5,Absolutely perfect services  👌 
19,"March 7, 2026",5,
